url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,138,76
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,46,18
/PetervanLunteren/addaxai,41,2
/PetervanLunteren/AddaxAI/tree/main,38,15
/PetervanLunteren/AddaxAI/issues,37,12
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,32,25
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,23,2
/PetervanLunteren/AddaxAI/actions,23,1
/PetervanLunteren/AddaxAI/activity,23,1
/PetervanLunteren/AddaxAI/releases,22,12
