referrer,views_total,views_unique
addaxdatascience.com,95,26
Google,93,34
github.com,66,22
DuckDuckGo,15,3
yandex.ru,12,3
theoj.org,8,1
pub.towardsai.net,3,3
Bing,3,3
wildlabs.net,3,2
joss.theoj.org,1,1
