url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,146,79
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,47,18
/PetervanLunteren/addaxai,47,2
/PetervanLunteren/AddaxAI/issues,39,14
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,36,28
/PetervanLunteren/AddaxAI/tree/main,33,14
/PetervanLunteren/AddaxAI/actions,26,1
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,24,2
/PetervanLunteren/AddaxAI/activity,23,1
/PetervanLunteren/AddaxAI/tree/JOSS-submission,20,2
