url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,144,74
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,62,20
/PetervanLunteren/addaxai,61,2
/PetervanLunteren/AddaxAI/tree/main,53,18
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,46,30
/PetervanLunteren/AddaxAI/issues,43,11
/PetervanLunteren/AddaxAI/actions,30,2
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,27,2
/PetervanLunteren/AddaxAI/tree/main/install_files,26,10
/PetervanLunteren/AddaxAI/releases,25,12
