referrer,views_total,views_unique
Google,139,40
addaxdatascience.com,98,25
github.com,88,18
DuckDuckGo,15,3
Bing,9,6
theoj.org,8,1
pub.towardsai.net,5,4
wildlabs.net,3,2
ost.ecosyste.ms,3,1
joss.theoj.org,1,1
