url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,142,70
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,58,19
/PetervanLunteren/addaxai,54,2
/PetervanLunteren/AddaxAI/tree/main,47,18
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,43,27
/PetervanLunteren/AddaxAI/issues,34,10
/PetervanLunteren/AddaxAI/actions,30,2
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,27,2
/PetervanLunteren/AddaxAI/tree/main/install_files,24,10
/PetervanLunteren/AddaxAI/tree/main/classification_utils,23,15
