referrer,views_total,views_unique
Google,140,38
addaxdatascience.com,104,30
github.com,76,21
DuckDuckGo,15,3
Bing,8,5
pub.towardsai.net,5,4
wildlabs.net,3,2
ost.ecosyste.ms,3,1
joss.theoj.org,1,1
wildlifedatasets.github.io,1,1
